refs,qty,value,footprint,manufacturer,mpn,description,usd_each,usd_total,status
BT1,1,CR2032,BatteryHolder_Keystone_1060_1x2032,Keystone,1060,"CR2032 SMD holder (cell bought separately, about 0.5)",0.9,0.9,verify
"C1,C2,C501,C2003,C2004,C2005,C2103,C2104,C2105,C2202,C2203,C5102,C5103",13,22u 10V,C_0805_2012Metric,generic,,22 uF X5R 10 V 0805,0.08,1.04,
"C3,C31,C500",3,10u 10V,C_0805_2012Metric,generic,,10 uF X5R 10 V 0805,0.05,0.15,
"C4,C30",2,1u 10V,C_0402_1005Metric,generic,,1 uF X5R 10 V 0402,0.02,0.04,
"C20,C21",2,680u 25V low-ESR,CP_Elec_10x10.5,generic,,"680 uF 25 V low-ESR aluminium polymer or electrolytic, 10 x 10.5 mm SMD (spin-up bulk)",0.9,1.8,verify
"C22,C2000,C2001,C2100,C2101,C2200,C5100",7,10u 25V,C_1210_3225Metric,generic,,10 uF X5R 25 V 1210 (input and 5 V bulk),0.12,0.84,
"C100,C101,C200,C201",4,33p,C_0402_1005Metric,generic,,33 pF C0G 50 V 0402 (crystal load),0.01,0.04,
"C110,C111,C112,C113,C120,C121,C122,C123,C140,C141,C151,C152,C153,C154,C161,C162,C163,C164,C210,C211,C212,C213,C220,C221,C222,C223,C240,C241,C251,C252,C253,C254,C261,C262,C263,C264",36,100n,C_0402_1005Metric,generic,,"100 nF X7R 16 V or better, 0402",0.01,0.36,
"C130,C131,C230,C231",4,4.7u 10V,C_0603_1608Metric,generic,,4.7 uF X5R 10 V 0603,0.04,0.16,
C502,1,1n,C_0402_1005Metric,generic,,1 nF C0G 50 V 0402,0.01,0.01,
"C2002,C2102",2,100n 25V,C_0402_1005Metric,generic,,"100 nF X7R 16 V or better, 0402",0.01,0.02,
"C2201,C5101",2,100n 10V,C_0402_1005Metric,generic,,"100 nF X7R 16 V or better, 0402",0.01,0.02,
D1,1,green PWR,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D2,1,green ACT,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D3,1,red STATUS,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D10,1,blue bay 1 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D11,1,blue bay 2 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D12,1,blue bay 3 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D13,1,blue bay 4 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D14,1,blue bay 5 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D15,1,blue bay 6 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D16,1,blue bay 7 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D17,1,blue bay 8 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
D20,1,SMBJ15A,D_SMB,Littelfuse,SMBJ15A,"TVS diode 15 V standoff, SMB",0.35,0.35,
D21,1,12V 0.5W,D_SOD-123,generic,,"12 V 0.5 W zener, SOD-123 (BZT52C12 class)",0.05,0.05,
D50,1,blue M.2 activity,LED_D3.0mm,generic,,"3 mm through-hole LED, colour as listed, 2 V forward, about 5 mA",0.1,0.1,
F1,1,10A slow 0453010.MR,Fuse_Littelfuse-NANO2-451_453,Littelfuse,0453010.MR,NANO2 10 A slow-blow fuse,0.8,0.8,
J3,1,microSD,microSD_HC_Hirose_DM3AT-SF-PEJM5,Hirose,DM3AT-SF-PEJM5,microSD push-push socket,1.0,1.0,verify
J5,1,USB-C rpiboot,USB_C_Receptacle_GCT_USB4085,GCT,USB4085-GF-A,"USB-C 16-pin receptacle, USB 2.0 only",1.0,1.0,
J6,1,nRPIBOOT,PinHeader_1x02_P2.54mm_Vertical,generic,,"2.54 mm pin header, vertical, count as listed",0.1,0.1,
J7,1,UART0 GND/TX/RX,PinHeader_1x03_P2.54mm_Vertical,generic,,"2.54 mm pin header, vertical, count as listed",0.1,0.1,
J10,1,bay slot 1,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
J11,1,bay slot 2,PCIe_x1_Socket_THT,Amphenol FCI,10018783-10100TLF,"PCI Express x1 vertical through-hole socket, 36 contacts (custom bay pinout, no PCIe signalling)",1.0,1.0,verify
