pin,name,type,description
1,VCCIN,P,"Switching regulator input"
2,I2C_DATA,B,"Used as I2C_DATA signal or SPI_DI signal, defined by strapping pin 37"
3,I2C_CLK,B,"Used as I2C_CLK signal or SPI_CLK signal, defined by strapping pin 37"
4,VCC,P,"IO power"
5,GPIO5,B,"General Purpose IO, used as SPI_DO, with internal pull-up resistor."
6,GPIO4,B,"General Purpose IO, used as SPI_CS0, with internal pull-up resistor."
7,VDD,P,"Core power"
8,GPIO3,B,"General Purpose IO, used as strapping pin for clock source select while"
9,GPIO2,B,"General Purpose IO, used as SPI_CS1, with internal pull-up resistor."
10,VBUS,I,"USB Cable Power Detector"
11,VBUS_LDO,P,"Linear regulator input"
12,VCCO,P,"Linear regulator output"
13,VDDU,P,"USB low power pin"
14,VCCU,P,"USB high power pin"
15,UDP,DB,"USB2.0 positive Data Signal"
16,UDM,DB,"USB2.0 negative Data Signal"
17,REXT,P,"External Reference Resistor with 12.1Kohm +/-1%"
18,VCCU,P,"USB high power pin"
19,UTXN,DO,"SuperSpeed USB negative Transmitter Signal"
20,UTXP,DO,"SuperSpeed USB positive Transmitter Signal"
21,GNDA,G,"Analog Ground"
22,URXN,DI,"SuperSpeed USB negative Receiver Signal"
23,URXP,DI,"SuperSpeed USB positive Receiver Signal"
24,VDDU,P,"USB low power pin"
25,XI,I,"Crystal input or Clock input pin"
26,XO,O,"Crystal output or Clock output pin"
27,VCCTXL,P,"Power for Crystal and PLL circuit"
28,VDDS,P,"SATA low power pin"
29,SRXP,DI,"SATA positive Receiver Signal"
30,SRXN,DI,"SATA negative Receiver Signal"
31,GNDA,G,"Analog Ground"
32,STXN,DO,"SATA negative Transmitter Signal"
33,STXP,DO,"SATA positive Transmitter Signal"
34,VCCS,P,"SATA high power pin"
35,GPIO7,B,"General Purpose IO, use as strapping for clock source select while power"
36,VDD,P,"Core power"
37,GPIO6,B,"General Purpose IO, used as strapping for external ROM enabling via SPI"
38,RST#,I,"Power Reset pin"
39,VCC,P,"IO power"
40,UART_RX,B,"URAT_RX while debug mode, Used as General Purpose IO after power on."
41,UART_TX,B,"UART_TX while debug mode, Used as General Purpose IO after power on."
42,TEST_EN,I,"Test Enable Signal, with internal pull-down resistor"
43,GPIO0,B,"General Purpose IO. Integrated pull-up resistor."
44,GPIO1,B,"General Purpose IO. Integrated pull-up resistor."
45,HDDPC,B,"HDD power control pin, use as General Purpose IO. Integrated pull-up"
46,VDD,P,"Core power"
47,PGND,G,"Ground for voltage regulator"
48,LXI,P,"Connect with external inductor"
49,GND,G,"the exposed pad connected to common ground on PCB"
