pin,signal
1,CONFIG_3
2,3V3
3,GND
4,3V3
5,PERn3
6,NC
7,PERp3
8,NC
9,GND
10,DAS/DSS#
11,PETn3
12,3V3
13,PETp3
14,3V3
15,GND
16,3V3
17,PERn2
18,3V3
19,PERp2
20,NC
21,CONFIG_0
22,NC
23,PETn2
24,NC
25,PETp2
26,NC
27,GND
28,NC
29,PERn1
30,NC
31,PERp1
32,NC
33,GND
34,NC
35,PETn1
36,NC
37,PETp1
38,DEVSLP
39,GND
40,NC
41,PERn0
42,NC
43,PERp0
44,NC
45,GND
46,NC
47,PETn0
48,NC
49,PETp0
50,PERST#
51,GND
52,CLKREQ#
53,REFCLKn
54,PEWAKE#
55,REFCLKp
56,MFG1
57,GND
58,MFG2
67,NC
68,SUSCLK
69,CONFIG_1/PEDET
70,3V3
71,GND
72,3V3
73,GND
74,3V3
75,CONFIG_2
