pin,name,buffer
1,USB2DN_DP1/PRT_DIS_P1,PD-15k
2,USB2DN_DM1/PRT_DIS_M1,PD-15k
3,USB3DN_TXDP1,Z
4,USB3DN_TXDM1,Z
5,VDD12,A/P
6,USB3DN_RXDP1,Z
7,USB3DN_RXDM1,Z
8,USB2DN_DP2/PRT_DIS_P2,PD-15k
9,USB2DN_DM2/PRT_DIS_M2,PD-15k
10,USB3DN_TXDP2,Z
11,USB3DN_TXDM2,Z
12,VDD12,A/P
13,USB3DN_RXDP2,Z
14,USB3DN_RXDM2,Z
15,VDD12,A/P
16,VDD33,A/P
17,USB2DN_DP3/PRT_DIS_P3,PD-15k
18,USB2DN_DM3/PRT_DIS_M3,PD-15k
19,USB3DN_TXDP3,Z
20,USB3DN_TXDM3,Z
21,VDD12,A/P
22,USB3DN_RXDP3,Z
23,USB3DN_RXDM3,Z
24,USB2DN_DP4/PRT_DIS_P4,PD-15k
25,USB2DN_DM4/PRT_DIS_M4,PD-15k
26,USB3DN_TXDP4,Z
27,USB3DN_TXDM4,Z
28,VDD12,A/P
29,USB3DN_RXDP4,Z
30,USB3DN_RXDM4,Z
31,VDD33,A/P
32,PRT_CTL4/GANG_PWR,PD-50k
33,VDD12,A/P
34,PRT_CTL3,PD-50k
35,PRT_CTL2,PD-50k
36,PRT_CTL1,PD-50k
37,VBUS_DET,Z
38,SPI_CLK/SMCLK,Z
39,SPI_DO/SMDAT,PD-50k
40,SPI_DI/CFG_BC_EN,Z
41,SPI_CE_N/CFG_NON_REM,PU-50k
42,RESET_N,R
43,VDD12,A/P
44,VDD33,A/P
45,USB2UP_DP,PD-1M
46,USB2UP_DM,PD-1M
47,USB3UP_TXDP,Z
48,USB3UP_TXDM,Z
49,VDD12,A/P
50,USB3UP_RXDP,Z
51,USB3UP_RXDM,Z
52,ATEST,Z
53,XTALO,A/P
54,XTALI/CLK_IN,A/P
55,VDD33,A/P
56,RBIAS,A/P
EP,VSS,P
