Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2032","BatteryHolder_Keystone_1060_1x2032",140.000000,-98.000000,180.000000,bottom
"C110","100n","C_0402_1005Metric",64.480000,-65.730000,180.000000,bottom
"C111","100n","C_0402_1005Metric",59.730000,-57.520000,90.000000,bottom
"C112","100n","C_0402_1005Metric",56.520000,-57.520000,90.000000,bottom
"C113","100n","C_0402_1005Metric",56.520000,-70.480000,90.000000,bottom
"C120","100n","C_0402_1005Metric",51.520000,-65.730000,180.000000,bottom
"C121","100n","C_0402_1005Metric",58.120000,-57.520000,90.000000,bottom
"C122","100n","C_0402_1005Metric",58.120000,-70.480000,90.000000,bottom
"C123","100n","C_0402_1005Metric",54.920000,-70.480000,90.000000,bottom
"C130","4.7u 10V","C_0603_1608Metric",54.920000,-57.520000,90.000000,bottom
"C131","4.7u 10V","C_0603_1608Metric",51.520000,-62.520000,180.000000,bottom
"C210","100n","C_0402_1005Metric",122.470000,-65.730000,180.000000,bottom
"C211","100n","C_0402_1005Metric",117.720000,-57.520000,90.000000,bottom
"C212","100n","C_0402_1005Metric",114.530000,-57.520000,90.000000,bottom
"C213","100n","C_0402_1005Metric",114.530000,-70.480000,90.000000,bottom
"C220","100n","C_0402_1005Metric",109.530000,-65.730000,180.000000,bottom
"C221","100n","C_0402_1005Metric",116.120000,-57.520000,90.000000,bottom
"C222","100n","C_0402_1005Metric",116.120000,-70.480000,90.000000,bottom
"C223","100n","C_0402_1005Metric",109.530000,-62.520000,180.000000,bottom
"C230","4.7u 10V","C_0603_1608Metric",112.920000,-57.520000,90.000000,bottom
"C231","4.7u 10V","C_0603_1608Metric",112.920000,-70.480000,90.000000,bottom
"J6","nRPIBOOT","PinHeader_1x02_P2.54mm_Vertical",120.000000,-86.000000,180.000000,bottom
"J7","UART0 GND/TX/RX","PinHeader_1x03_P2.54mm_Vertical",120.000000,-98.000000,180.000000,bottom
"C1","22u 10V","C_0805_2012Metric",143.100000,-120.980000,0.000000,top
"C2","22u 10V","C_0805_2012Metric",139.700000,-123.880000,0.000000,top
"C3","10u 10V","C_0805_2012Metric",143.500000,-123.880000,0.000000,top
"C4","1u 10V","C_0402_1005Metric",138.910000,-129.440000,0.000000,top
"C20","680u 25V low-ESR","CP_Elec_10x10.5",106.500000,-102.000000,0.000000,top
"C21","680u 25V low-ESR","CP_Elec_10x10.5",106.500000,-114.000000,0.000000,top
"C22","10u 25V","C_1210_3225Metric",110.080000,-89.300000,0.000000,top
"C30","1u 10V","C_0402_1005Metric",87.830000,-100.680000,0.000000,top
"C31","10u 10V","C_0805_2012Metric",79.700000,-98.840000,0.000000,top
"C100","33p","C_0402_1005Metric",74.790000,-62.680000,0.000000,top
"C101","33p","C_0402_1005Metric",77.010000,-62.680000,0.000000,top
"C140","100n","C_0402_1005Metric",70.350000,-62.680000,0.000000,top
"C141","100n","C_0402_1005Metric",72.570000,-62.680000,0.000000,top
"C151","100n","C_0402_1005Metric",65.910000,-61.360000,0.000000,top
"C152","100n","C_0402_1005Metric",70.350000,-61.360000,0.000000,top
"C153","100n","C_0402_1005Metric",74.790000,-61.360000,0.000000,top
"C154","100n","C_0402_1005Metric",65.910000,-62.680000,0.000000,top
"C161","100n","C_0402_1005Metric",68.130000,-61.360000,0.000000,top
"C162","100n","C_0402_1005Metric",72.570000,-61.360000,0.000000,top
"C163","100n","C_0402_1005Metric",77.010000,-61.360000,0.000000,top
"C164","100n","C_0402_1005Metric",68.130000,-62.680000,0.000000,top
"C200","33p","C_0402_1005Metric",132.790000,-62.680000,0.000000,top
"C201","33p","C_0402_1005Metric",135.010000,-62.680000,0.000000,top
"C240","100n","C_0402_1005Metric",128.350000,-62.680000,0.000000,top
"C241","100n","C_0402_1005Metric",130.570000,-62.680000,0.000000,top
"C251","100n","C_0402_1005Metric",123.910000,-61.360000,0.000000,top
"C252","100n","C_0402_1005Metric",128.350000,-61.360000,0.000000,top
"C253","100n","C_0402_1005Metric",132.790000,-61.360000,0.000000,top
"C254","100n","C_0402_1005Metric",123.910000,-62.680000,0.000000,top
"C261","100n","C_0402_1005Metric",126.130000,-61.360000,0.000000,top
"C262","100n","C_0402_1005Metric",130.570000,-61.360000,0.000000,top
"C263","100n","C_0402_1005Metric",135.010000,-61.360000,0.000000,top
"C264","100n","C_0402_1005Metric",126.130000,-62.680000,0.000000,top
"C500","10u 10V","C_0805_2012Metric",83.100000,-124.780000,0.000000,top
"C501","22u 10V","C_0805_2012Metric",79.700000,-127.680000,0.000000,top
"C502","1n","C_0402_1005Metric",83.430000,-131.880000,0.000000,top
"C2000","10u 25V","C_1210_3225Metric",80.300000,-89.900000,0.000000,top
