Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0402_1005Metric",51.690000,-44.960000,0.000000,top
"C2","22p","C_0402_1005Metric",34.010000,-36.460000,0.000000,top
"C3","2.2u","C_0603_1608Metric",44.380000,-45.230000,0.000000,top
"C4","10u 10V","C_0805_2012Metric",33.200000,-45.480000,0.000000,top
"C5","10u 10V","C_0805_2012Metric",37.000000,-45.480000,0.000000,top
"C6","10u 10V","C_0805_2012Metric",40.800000,-45.480000,0.000000,top
"C7","100n","C_0402_1005Metric",36.230000,-36.460000,0.000000,top
"C8","100n","C_0402_1005Metric",38.450000,-36.460000,0.000000,top
"C9","100n","C_0402_1005Metric",40.670000,-36.460000,0.000000,top
"C10","100n","C_0402_1005Metric",53.910000,-44.960000,0.000000,top
"C11","100n","C_0402_1005Metric",56.130000,-44.960000,0.000000,top
"C12","100n","C_0402_1005Metric",58.350000,-44.960000,0.000000,top
"C13","100n","C_0402_1005Metric",60.570000,-44.960000,0.000000,top
"C14","100n","C_0402_1005Metric",22.910000,-36.460000,0.000000,top
"C15","10n","C_0402_1005Metric",25.130000,-36.460000,0.000000,top
"C16","10n","C_0402_1005Metric",27.350000,-36.460000,0.000000,top
"C17","10n","C_0402_1005Metric",29.570000,-36.460000,0.000000,top
"C18","10n","C_0402_1005Metric",31.790000,-36.460000,0.000000,top
"C19","100n","C_0402_1005Metric",27.430000,-55.360000,0.000000,top
"C20","100n","C_0402_1005Metric",29.650000,-55.360000,0.000000,top
"F1","3A hold 1812","Fuse_1812_4532Metric",24.950000,-52.550000,0.000000,top
"F2","2A hold 1812","Fuse_1812_4532Metric",31.250000,-52.550000,0.000000,top
"J2","SATA 22-pin","SATA_22pin_Receptacle_RA",42.500000,-20.000000,0.000000,top
"L1","4.7u 1A","L_Taiyo-Yuden_NR-40xx",24.250000,-46.750000,0.000000,top
"Q1","AON7403","DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm",36.700000,-52.350000,0.000000,top
"Q2","AON7403","DFN-8-1EP_3x3mm_P0.65mm_EP1.5x2.25mm",41.300000,-52.350000,0.000000,top
"Q3","2N7002","SOT-23",45.730000,-52.300000,0.000000,top
"Q4","2N7002","SOT-23",49.990000,-52.300000,0.000000,top
"R1","12.1k 1%","R_0402_1005Metric",47.190000,-44.970000,0.000000,top
"R2","10k","R_0402_1005Metric",49.450000,-44.970000,0.000000,top
"R3","100k","R_0402_1005Metric",53.250000,-51.070000,0.000000,top
"R4","10k","R_0402_1005Metric",55.510000,-51.070000,0.000000,top
"R5","100k","R_0402_1005Metric",57.770000,-51.070000,0.000000,top
"R6","10k","R_0402_1005Metric",60.030000,-51.070000,0.000000,top
"R7","10k","R_0402_1005Metric",22.930000,-55.370000,0.000000,top
"R8","1k","R_0402_1005Metric",25.190000,-55.370000,0.000000,top
"U1","ASM1153E","QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm",58.000000,-40.500000,180.000000,top
"Y1","30MHz CL=16pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",29.000000,-46.250000,0.000000,top
